,District,No of Positive cases,Lat,Long
0,South Andaman,10,10.7056905,92.48746789633373
1,Ananthapur,2,19.5048853,78.4309345
2,Chitoor,6,13.0929032,80.266619
3,East Godavari,6,17.233496,81.7225986
4,Guntur,9,16.2915189,80.4541588
5,Kadappa,15,13.0893554,80.2545925
6,Krishna,6,16.6691525,80.7190024
7,Kurnool,1,15.8309251,78.0425373
8,Nellore,3,14.4493717,79.9873763
9,Prakasam,15,15.5,79.5
10,Vizag,11,17.7231276,83.3012842
11,West Godavari,12,17.0,81.166667
12,Munger,8,25.22081165,86.51720367235285
13,Patna,5,25.6093239,85.1235252
14,Siwan,5,26.1310043,84.39125660595198
15,Gaya,1,24.7964355,85.0079563
16,Begusarai,1,25.5127194,86.09057109140021
17,Gopalganj,1,26.4207265,84.37406407415165
18,Lakhisarai,1,25.167702900000002,86.05935924304018
19,Nalanda,1,25.1364914,85.44365464855682
20,Chandigarh,16,30.7194022,76.7646552
21,Raipur,5,21.2379469,81.6336833
22,Rajnandgaon,1,20.9727404,80.69155548263583
23,Durg,1,21.19903535,81.3979545573657
24,Bilaspur,1,28.8680526,79.29838501460121
25,Korba,1,22.51976955,82.62951462416818
26,Central Delhi,12,28.69854835,77.21939141568413
27,East Delhi,9,28.6204767,77.30918071344418
28,North Delhi,9,28.6141793,77.2022662
29,North East Delhi,6,28.72330795,77.26685650778668
30,North West Delhi,5,28.6141793,77.2022662
31,South Delhi,63,28.485169399999997,77.19637972381611
32,South West Delhi,10,28.58644805,76.97915298462692
33,West Delhi,12,28.6479519,77.08556541088615
34,New Delhi,2,28.6141793,77.2022662
35,Shahdara,8,28.6733333,77.2890248
36,South East,16,30.7640468,76.2370253
37,Ahmedabad,33,23.0216238,72.5797068
38,Bhavnagar,6,21.7718836,72.1416449
39,Gandhinagar,10,23.2232877,72.6492267
40,Gir Somnath,2,20.9911049,70.68806405046848
41,Kutch,1,23.708787049999998,69.82747746941271
42,Mehsana,1,23.601262849999998,72.37415155167554
43,Porbandar,1,21.6409,69.611
44,Rajkot,10,22.3051991,70.8028335
45,Surat,9,21.1864607,72.8081281
46,Vadodara,9,22.2973142,73.1942567
47,Faridabad,6,28.402837,77.3085626
48,Gurugram,24,28.4646148,77.0299194
49,Palwal,1,28.12502575,77.35831300773046
50,Panchkula,2,30.616216450000003,77.04197804321875
51,Panipat,4,29.3912753,76.9771675
52,Ambala,1,30.3843674,76.770421
53,Sonipat,1,29.0033144,77.0167323
54,Sirsa,3,29.583333,75.083333
55,Hissar,1,29.9686641,76.586226
56,Kangra,3,32.166667,76.25
57,Jammu,5,32.7185614,74.8580917
58,Rajouri,3,33.3772495,74.3132332
59,Udhampur,4,33.0,75.166667
60,Srinagar,25,34.0747444,74.8204443
61,Bandipora,11,34.4563234,75.18344578242946
62,Budgam,7,34.04796585,74.7441397838328
63,Pulwama,3,33.89829355,74.89634093792017
64,Baramulla,2,34.205005650000004,74.36221081111597
65,Shopian,2,33.718807,74.8333311
66,Ranchi,1,23.3700354,85.3250132
67,BBMP,30,13.058135,77.5064622757628
68,Bellary,3,15.1467299,76.9125211
69,Bengaluru Urban,21,12.94514225,77.55364499971128
70,Bengaluru Rural,1,13.18077825,77.34174236923371
71,Chikkaballapura,7,13.4358702,77.7312434
72,Dakshin Kannada,9,12.8827367,75.0309089
73,Dharwad,1,15.4540505,75.0066516
74,Kalburgi,4,17.166667,77.083333
75,Kodagu,1,12.3822808,75.66523533586208
76,Mysore,18,12.3051828,76.6553609
77,Tumkur,1,13.3400771,77.1006208
78,Udupi,3,13.3419169,74.7473232
79,Uttara Kannada,8,14.724474149999999,74.64223734496612
80,Davangere,3,14.466445700000001,75.9197507909343
81,Alappuzha,2,9.48870055,76.41256410969626
82,Ernakulam,23,10.038394700000001,76.5074145180173
83,Idukki,4,9.8497872,76.9797914
84,Kannur,49,11.8762254,75.3738043
85,Kasargod,115,12.4914722,74.9877613
86,Kottayam,6,9.62857045,76.6455250291479
87,Kozhikode,9,11.2446144,75.7759372
88,Palakkad,6,10.7691989,76.6512469
89,Pathanamthitta,10,9.283404399999998,76.96066275907359
90,Wayanad,3,11.715219000000001,76.12690294658198
91,Thiruvananthapuram,13,8.5058909,76.9570481
92,Mallapuram,11,15.5127186,79.1714602
93,Thrissur,11,10.5256264,76.2132542
94,Kollam,3,8.96699645,76.85828880345855
95,Kargil,2,34.42089435,75.66548598121861
96,Leh,11,34.1642029,77.5848133
97,Bhopal,3,23.2530923,77.3962718
98,Gwalior,1,26.2037247,78.1573628
