,District,No of Positive cases,Lat,Long
99,Indore,12,22.7203616,75.8681996
100,Shivpuri,2,25.37524125,77.82811932629714
101,Ujjain,4,23.174597,75.7851423
102,Jabalpur,8,23.1608938,79.9497702
103,Neemuch,1,24.63044655,75.18339614635457
104,Ahmednagar,8,19.162772500000003,74.85802430085195
105,Aurangabad,1,19.877263,75.3390241
106,Buldana,4,20.46134405,76.09621899921487
107,Mumbai,174,18.9387711,72.8353355
108,Mumbai Suburban,5,19.13095765,72.88593095460952
109,Gondia,1,21.455228,80.1962729
110,Jalgaon,1,20.84351185,75.52592658756026
111,Nagpur,18,21.1498134,79.0820556
112,Nashik,1,20.0112475,73.7902364
113,Kolhapur,2,16.7028412,74.2405329
114,Palghar,2,19.68086385,72.82537342511341
115,Pune,49,18.521428,73.8544541
116,Raigad,2,18.4928092,73.13807095426539
117,Ratnagiri,1,17.282607900000002,73.4569787039826
118,Sangli,24,16.8502534,74.5948885
119,Satara,3,17.63612885,74.29827807601782
120,Sindhudurg,1,16.135719299999998,73.65220860183584
121,Thane,20,19.1943294,72.9701779
122,Yavatmal,4,20.15,78.35
123,Imphal West,1,24.757326,93.85847858025147
124,Aizwal (W),1,23.860878800000002,92.98228203442551
125,Khordha,3,20.22564715,85.56059465125232
126,Bhadrak,1,21.0633288,86.5053731
127,Mahe,1,11.7021978,75.5364701
128,Puducherry,2,11.9340568,79.8306447
129,Amritsar,2,31.6343083,74.8736788
130,Hoshiarpur,6,31.60857425,75.84644246890946
131,Jalandhar,5,31.29201065,75.56805772253911
132,Ludhiana,3,30.9090157,75.851601
133,SAS Nagar,10,30.6904481,76.7116382
134,SBS Nagar,19,17.4149528,78.5423976
135,Patiala,1,30.2090874,76.3398720856221
136,Bhilwara,26,25.48877345,74.69961283584024
137,Jaipur,32,26.916194,75.820349
138,Jhunjhunu,8,28.1287995,75.3992581
139,Jodhpur,8,26.2967719,73.0351433
140,Pali,1,25.6040908,73.41560878556902
141,Dungarpur,3,23.666667,73.75
142,Ajmer,5,26.4691,74.639
143,Pratapgarh,2,25.75,81.75
144,Alwar,1,27.639077049999997,76.6144524902045
145,Sikar,1,27.662826000000003,75.02792628691331
146,Churu,1,28.2061443,74.69190729963461
149,Chennai,37,13.0801721,80.2838331
150,Coimbatore,29,11.0018115,76.9628425
151,Dindugal,17,10.163672,77.7376689
152,Erode,26,11.369204400000001,77.67662686841793
153,Kanchipuram,3,12.9647163,79.9839686
154,Kanyakumari,5,8.079252,77.5499338
155,Karur,2,10.9301522,78.08485454572889
156,Madurai,15,9.9261153,78.1140983
157,Namakkal,18,11.2191319,78.23739801779963
158,Salem,6,11.6612012,78.1602498
159,Sivagangai,5,9.9650599,78.7204283237222
160,Thanjavur,1,10.7860267,79.1381497
161,Theni,20,9.969664300000002,77.47420048524822
162,Thiruvannamalai,2,12.2775224,79.0731549
163,Thiruvarur,2,10.73618605,79.63318659437627
164,Thoothukudi,3,8.8052602,78.1452745
165,Tirunelveli,29,8.8082342,77.8114843
166,Tirupattur,7,12.4983561,78.5618167
167,Tirupur,1,11.1671878,77.3472673
168,Trichirapalli,1,10.80908,78.6825046
169,Vellore,1,12.7948109,79.0006410968549
170,Villupuram,3,11.9398285,79.4945645
171,Virudhunagar,1,9.5208936,77.8784563961865
172,Agra,12,27.1752554,78.0098161
173,Bagpat,1,23.4305284,69.2124939
174,Bareilly,6,28.457876,79.40557093743058
175,Bulandshahar,3,28.5246712,77.5996529
176,GB Nagar,45,15.3631664,75.1252514
177,Ghaziabad,8,28.711241,77.4445372
178,Jaunpur,1,25.7955927,82.48834097504385
179,Kanpur,1,26.4609135,80.3217588
180,Lucknow,9,26.8381,80.9346001
181,Meerut,19,28.916667,77.683333
182,Lakhimpur,1,27.985060150000002,80.75384538357649
183,Varanasi,2,25.3356491,83.0076292
184,Pilibhit,2,28.495207649999998,80.10754080018077
185,Shamli,1,29.5008816,77.34838258540861
186,Basti,1,27.25,83.0
187,Moradabad,1,28.8638424,78.80577833091104
188,Hyderabad,44,17.38878595,78.46106473453146
189,Bhadradri Kothagudem,4,17.71534525,80.57149761778712
190,Karimnagar,13,18.4346438,79.1322648
191,Medchal,11,17.6339929,78.4843146
192,Mahboobnagar,3,17.7203392,79.6280587
193,Nizamabad,2,26.055317950000003,82.99313867937335
194,Ranga Reddy,11,12.9554461,80.2530374
195,Warangal (U),1,17.9806094,79.5982115
196,Gadwal,2,16.2347032,77.7946371
197,Kamareddy,3,18.316551,78.05393808043348
198,Kolkata,17,22.54541245,88.3567751581234
199,Nadia,5,23.48454125,88.55676307470536
200,East Medinipur,3,22.4207025,87.3269963
201,West Medinipur,1,22.4207025,87.3269963
202,Kalimpong,1,27.07169,88.4729
203,Howrah,2,22.5882216,88.323139
204,Hooghly,4,22.9052114,88.3760639
205,North Pargana,3,24.5,87.5
206,South Pargana,1,24.5,87.5
207,Dehradun,4,30.3255646,78.0436813
208,Pauri Garhwal,1,29.84591115,78.70766746320547
