,District,No of Positive cases (2020-03-29),Lat,Long
68,Wayanad,1,11.715219000000001,76.12690294658198
69,Thiruvananthapuram,8,8.5058909,76.9570481
70,Mallapuram,8,15.5127186,79.1714602
71,Thrissur,6,10.5256264,76.2132542
72,Kollam,2,8.96699645,76.85828880345855
73,Kargil,2,34.42089435,75.66548598121861
74,Leh,11,34.1642029,77.5848133
75,Bhopal,3,23.2530923,77.3962718
76,Gwalior,1,26.2037247,78.1573628
77,Indore,10,22.7203616,75.8681996
78,Shivpuri,2,25.37524125,77.82811932629714
79,Ujjain,4,23.174597,75.7851423
80,Jabalpur,8,23.1608938,79.9497702
81,Ahmednagar,3,19.162772500000003,74.85802430085195
82,Aurangabad,1,19.877263,75.3390241
83,Mumbai,81,18.9387711,72.8353355
84,Gondia,1,21.455228,80.1962729
85,Nagpur,12,21.1498134,79.0820556
86,Kolhapur,1,16.7028412,74.2405329
87,Palghar,2,19.68086385,72.82537342511341
88,Pune,31,18.521428,73.8544541
89,Raigad,1,18.4928092,73.13807095426539
90,Ratnagiri,1,17.282607900000002,73.4569787039826
91,Sangli,24,16.8502534,74.5948885
92,Satara,2,17.63612885,74.29827807601782
93,Sindhudurg,1,16.135719299999998,73.65220860183584
94,Thane,16,19.1943294,72.9701779
95,Yavatmal,4,20.15,78.35
96,Imphal West,1,24.757326,93.85847858025147
97,Aizwal (W),1,23.860878800000002,92.98228203442551
98,Khurda,3,20.1617378,85.7052429
99,Mahe,1,11.7021978,75.5364701
100,Amritsar,1,31.6343083,74.8736788
101,Hoshiarpur,6,31.60857425,75.84644246890946
102,Jalandhar,5,31.29201065,75.56805772253911
103,Ludhiana,1,30.9090157,75.851601
104,Nawanshahr,1,31.126888899999997,76.15768480633812
105,SAS Nagar,6,30.6904481,76.7116382
106,SBS Nagar,18,17.4149528,78.5423976
107,Bhilwara,22,25.48877345,74.69961283584024
108,Jaipur,8,26.916194,75.820349
109,Jhunjhunu,6,28.1287995,75.3992581
110,Jodhpur,6,26.2967719,73.0351433
111,Pali,1,25.6040908,73.41560878556902
112,Dungarpur,2,23.666667,73.75
113,Ajmer,1,26.4691,74.639
114,Pratapgarh,2,25.75,81.75
115,Sikar,1,27.662826000000003,75.02792628691331
116,Churu,1,28.2061443,74.69190729963461
117,Ariyalur,1,11.076035950000001,79.11745538182738
118,Chennai,18,13.0801721,80.2838331
119,Coimbatore,1,11.0018115,76.9628425
120,Erode,5,11.369204400000001,77.67662686841793
121,Kanchipuram,1,12.9647163,79.9839686
122,Madurai,4,9.9261153,78.1140983
123,Salem,6,11.6612012,78.1602498
124,Thanjavur,1,10.7860267,79.1381497
125,Tirunelveli,1,8.8082342,77.8114843
126,Tirupur,1,11.1671878,77.3472673
127,Trichy,1,10.804973,78.6870296
128,Vellore,2,12.7948109,79.0006410968549
129,Bhadradri Kothagudem,4,17.71534525,80.57149761778712
130,Hyderabad,27,17.38878595,78.46106473453146
131,Karimnagar,1,18.4346438,79.1322648
133,Mahboobnagar,1,17.7203392,79.6280587
134,Medchal,3,17.6339929,78.4843146
135,Ranga Reddy,7,12.9554461,80.2530374
136,Warangal (U),1,17.9806094,79.5982115
137,Agra,10,27.1752554,78.0098161
138,GB Nagar,22,15.3631664,75.1252514
139,Ghaziabad,5,28.711241,77.4445372
140,Jaunpur,1,25.7955927,82.48834097504385
141,Kanpur,1,26.4609135,80.3217588
142,Lakhimpur Kheri,1,27.985060150000002,80.75384538357649
143,Lucknow,8,26.8381,80.9346001
144,Moradabad,1,28.8638424,78.80577833091104
145,Pilibhit,2,28.495207649999998,80.10754080018077
146,Shamli,1,29.5008816,77.34838258540861
147,Bagpat,1,23.4305284,69.2124939
148,Meerut,1,28.916667,77.683333
149,Varanasi,1,25.3356491,83.0076292
150,Dehradun,4,30.3255646,78.0436813
151,Pauri Garhwal,1,29.84591115,78.70766746320547
152,Kolkata,7,22.54541245,88.3567751581234
153,Nadia,5,23.48454125,88.55676307470536
154,North Pargana,2,24.5,87.5
155,South Pargana,1,24.5,87.5
156,East Mirzapur,2,24.9356347,82.64770129811649
