,District,No of Positive cases (2020-03-29),Lat,Long
0,South Andaman,9,10.7056905,92.48746789633373
1,Chitoor,1,13.0929032,80.266619
2,East Godavari,2,17.233496,81.7225986
3,Guntur,2,16.2915189,80.4541588
4,Krishna,3,16.6691525,80.7190024
5,Nellore,1,14.4493717,79.9873763
6,Prakasam,1,15.5,79.5
7,Vizag,4,17.7231276,83.3012842
8,Munger,3,25.22081165,86.51720367235285
9,Siwan,1,26.1310043,84.39125660595198
10,PATNA,4,25.6093239,85.1235252
11,Nalanda,1,25.1364914,85.44365464855682
12,Chandigarh,8,30.7194022,76.7646552
13,Raipur,3,21.2379469,81.6336833
14,Rajnandgaon,1,20.9727404,80.69155548263583
15,Durg,1,21.19903535,81.3979545573657
16,Bilaspur,1,28.8680526,79.29838501460121
17,Central Delhi,4,28.69854835,77.21939141568413
18,East Delhi,5,28.6204767,77.30918071344418
19,North Delhi,4,28.6141793,77.2022662
20,North East Delhi,5,28.72330795,77.26685650778668
21,North West Delhi,5,28.6141793,77.2022662
22,South Delhi,8,28.485169399999997,77.19637972381611
23,South West Delhi,3,28.58644805,76.97915298462692
24,West Delhi,5,28.6479519,77.08556541088615
25,Ahmedabad,18,23.0216238,72.5797068
26,Gandhinagar,9,23.2232877,72.6492267
27,Kutch,1,23.708787049999998,69.82747746941271
28,Rajkot,8,22.3051991,70.8028335
29,Mehsana,1,23.601262849999998,72.37415155167554
30,Surat,6,21.1864607,72.8081281
31,Vadodara,9,22.2973142,73.1942567
32,Bhavnagar,1,21.7718836,72.1416449
33,Faridabad,2,28.402837,77.3085626
34,Gurugram,24,28.4646148,77.0299194
35,Palwal,1,28.12502575,77.35831300773046
36,Panchkula,1,30.616216450000003,77.04197804321875
37,Panipat,4,29.3912753,76.9771675
38,Sonipat,1,29.0033144,77.0167323
39,Kangra,3,32.166667,76.25
40,Jammu,3,32.7185614,74.8580917
41,Rajauri,3,33.25,74.25
42,Udhampur,3,33.0,75.166667
43,Srinagar,12,34.0747444,74.8204443
44,Bandipora,8,34.4563234,75.18344578242946
45,Budgam,1,34.04796585,74.7441397838328
46,Pulwama,1,33.89829355,74.89634093792017
47,BBMP,26,13.058135,77.5064622757628
48,Bengaluru Urban,17,12.94514225,77.55364499971128
49,Chikkaballapura,6,13.4358702,77.7312434
50,Dakshin Kannada,7,12.8827367,75.0309089
51,Dharwad,1,15.4540505,75.0066516
52,Kalburgi,3,17.166667,77.083333
53,Kodagu,1,12.3822808,75.66523533586208
54,Mysore,3,12.3051828,76.6553609
55,Tumkur,1,13.3400771,77.1006208
56,Udupi,1,13.3419169,74.7473232
57,Uttara Kannada,7,14.724474149999999,74.64223734496612
58,Davangere,3,14.466445700000001,75.9197507909343
59,Alappuzha,2,9.48870055,76.41256410969626
60,Ernakulam,19,10.038394700000001,76.5074145180173
61,Idukki,2,9.8497872,76.9797914
62,Kannur,27,11.8762254,75.3738043
63,Kasargod,78,12.4914722,74.9877613
64,Kottayam,6,9.62857045,76.6455250291479
65,Kozhikode,9,11.2446144,75.7759372
66,Palakkad,4,10.7691989,76.6512469
67,Pathanamthitta,10,9.283404399999998,76.96066275907359
