,State/UT,No of Positive cases,Latitude,Longitude
0,Andhra Pradesh,348,15.9240905,80.1863809
1,Andaman and Nicobar Islands,11,10.2188344,92.5771329
2,Arunachal Pradesh,1,27.6891712,96.4597226
3,Assam,29,26.4073841,93.2551303
4,Bihar,39,25.6440845,85.906508
5,Chandigarh,18,30.7194022,76.7646552
6,Chhattisgarh,10,21.6637359,81.8406351
7,Delhi,720,28.6517178,77.2219388
8,Goa,7,15.3004543,74.0855134
9,Gujarat,241,22.41540825,72.03149703699282
10,Haryana,169,29.0,76.0
11,Himachal Pradesh,18,31.81676015,77.34932051968858
12,Jammu and Kashmir,158,34.0476564,76.7972892
13,Jharkhand,13,23.4559809,85.2557301
14,Karnataka,181,14.5203896,75.7223521
15,Kerala,357,10.3528744,76.5120396
16,Ladakh,15,33.9456407,77.6568576
17,Madhya Pradesh,259,23.8143419,77.5340719
18,Maharashtra,1364,19.531932,76.0554568
19,Manipur,2,24.7208818,93.9229386
20,Mizoram,1,23.2146169,92.8687612
21,Odisha,44,20.5431241,84.6897321
22,Puducherry,5,11.9340568,79.8306447
23,Punjab,101,30.9293211,75.5004841
24,Rajasthan,463,26.8105777,73.7684549
25,Tamil Nadu,834,10.9094334,78.3665347
26,Telengana,442,17.329125,78.5822228
27,Tripura,1,23.7750823,91.7025091
28,Uttarakhand,35,30.091993549999998,79.32176659343018
29,Uttar Pradesh,410,27.1303344,80.859666
30,West Bengal,116,22.9964948,87.6855882
