,State/UT,No of Positive cases,Latitude,Longitude
0,Andhra Pradesh,86,15.9240905,80.1863809
1,Andaman and Nicobar Islands,10,10.2188344,92.5771329
2,Assam,5,26.4073841,93.2551303
3,Bihar,24,25.6440845,85.906508
4,Chandigarh,16,30.7194022,76.7646552
5,Chhattisgarh,9,21.6637359,81.8406351
6,Delhi,219,28.6517178,77.2219388
7,Goa,5,15.3004543,74.0855134
8,Gujarat,87,22.41540825,72.03149703699282
9,Haryana,43,29.0,76.0
10,Himachal Pradesh,3,31.81676015,77.34932051968858
11,Jammu and Kashmir,62,34.0476564,76.7972892
12,Jharkhand,1,23.4559809,85.2557301
13,Karnataka,110,14.5203896,75.7223521
14,Kerala,265,10.3528744,76.5120396
15,Ladakh,13,33.9456407,77.6568576
16,Madhya Pradesh,99,23.8143419,77.5340719
17,Maharashtra,335,19.531932,76.0554568
18,Manipur,1,24.7208818,93.9229386
19,Mizoram,1,23.2146169,92.8687612
20,Odisha,4,20.5431241,84.6897321
21,Puducherry,3,11.9340568,79.8306447
22,Punjab,46,30.9293211,75.5004841
23,Rajasthan,108,26.8105777,73.7684549
24,Tamil Nadu,234,10.9094334,78.3665347
25,Telengana,107,17.329125,78.5822228
26,Uttarakhand,7,30.091993549999998,79.32176659343018
27,Uttar Pradesh,113,27.1303344,80.859666
28,West Bengal,53,22.9964948,87.6855882
