,State/UT,No of Positive cases,Latitude,Longitude
1,Andaman and Nicobar Islands,10,10.2188344,92.5771329
2,Bihar,32,25.6440845,85.906508
3,Chandigarh,18,30.7194022,76.7646552
4,Chhattisgarh,10,21.6637359,81.8406351
5,Delhi,523,28.6517178,77.2219388
6,Goa,7,15.3004543,74.0855134
7,Gujarat,144,22.41540825,72.03149703699282
8,Haryana,90,29.0,76.0
9,Himachal Pradesh,13,31.81676015,77.34932051968858
10,Jammu and Kashmir,109,34.0476564,76.7972892
11,Karnataka,151,14.5203896,75.7223521
12,Kerala,327,10.3528744,76.5120396
13,Ladakh,14,33.9456407,77.6568576
14,Madhya Pradesh,165,23.8143419,77.5340719
15,Maharashtra,748,19.531932,76.0554568
16,Manipur,2,24.7208818,93.9229386
17,Mizoram,1,23.2146169,92.8687612
18,Odisha,21,20.5431241,84.6897321
19,Puducherry,5,11.9340568,79.8306447
20,Punjab,76,30.9293211,75.5004841
21,Rajasthan,288,26.8105777,73.7684549
22,TamilNadu,621,10.9094334,78.3665347
23,Telengana,321,17.329125,78.5822228
24,Uttarakhand,31,30.091993549999998,79.32176659343018
25,Uttar Pradesh,305,27.1303344,80.859666
26,West Bengal,91,22.9964948,87.6855882
27,Assam,26,26.4073841,93.2551303
28,Jharkhand,4,23.4559809,85.2557301
29,Arunachal Pradesh,1,27.6891712,96.4597226
30,Tripura,1,23.7750823,91.7025091
