,State/UT,No of Positive cases,Latitude,Longitude
0,Andaman and Nicobar Islands,1,10.2188344,92.5771329
1,Andhra Pradesh,12,15.9240905,80.1863809
2,Bihar,6,25.6440845,85.906508
3,Chandigarh,7,30.7194022,76.7646552
4,Chhattisgarh,6,21.6637359,81.8406351
5,Delhi,36,28.6517178,77.2219388
6,Goa,3,15.3004543,74.0855134
7,Gujarat,43,22.41540825,72.03149703699282
8,Haryana,30,29.0,76.0
9,Himachal Pradesh,3,31.81676015,77.34932051968858
10,Jammu and Kashmir,13,34.0476564,76.7972892
11,Karnataka,55,14.5203896,75.7223521
12,Kerala,137,10.3528744,76.5120396
13,Ladakh,13,33.9456407,77.6568576
14,Madhya Pradesh,20,23.8143419,77.5340719
15,Maharashtra,130,19.531932,76.0554568
16,Manipur,1,24.7208818,93.9229386
17,Mizoram,1,23.2146169,92.8687612
18,Odisha,2,20.5431241,84.6897321
19,Puducherry,1,11.9340568,79.8306447
20,Punjab,33,30.9293211,75.5004841
21,Rajasthan,41,26.8105777,73.7684549
22,Tamil Nadu,29,10.9094334,78.3665347
23,Telengana,45,17.329125,78.5822228
24,Uttarakhand,5,30.091993549999998,79.32176659343018
25,Uttar Pradesh,41,27.1303344,80.859666
26,West Bengal,10,22.9964948,87.6855882
